"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Markdown", "TypeScript", "Ignore", "Skill", "YAML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\components\filters\ConfidenceSlider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 4, 31
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\components\filters\Filters.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 8, 4, 40
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\components\filters\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\components\object-list\ObjectList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 6, 7, 86
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\components\object-list\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\components\timeline\Timeline.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 2, 5, 68
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\components\timeline\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\components\viewer-2d\Viewer2D.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 14, 8, 124
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\components\viewer-2d\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\components\viewer-3d\BBox3D.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 3, 12, 69
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\components\viewer-3d\PointCloud.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 2, 9, 46
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\components\viewer-3d\Scene.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 3, 10, 51
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\components\viewer-3d\Viewer3D.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 4, 37
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\components\viewer-3d\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\lib\coco\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\lib\coco\parser.test.ts", "TypeScript", 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 5, 42, 277
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\lib\coco\parser.ts", "TypeScript", 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 16, 134
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\lib\coco\types.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\lib\geometry\bbox-estimator.test.ts", "TypeScript", 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 19, 158
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\lib\geometry\bbox-estimator.ts", "TypeScript", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 27, 14, 103
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\lib\geometry\frame-enricher.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 7, 3, 29
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\lib\geometry\index.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\lib\geometry\pointcloud-generator.test.ts", "TypeScript", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 3, 11, 111
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\lib\geometry\pointcloud-generator.ts", "TypeScript", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 14, 9, 64
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\lib\selectors\index.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\lib\selectors\visible-detections.test.ts", "TypeScript", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 2, 14, 119
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\lib\selectors\visible-detections.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 16, 3, 40
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\lib\types\index.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 4, 35
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\store\index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\store\viewer-store.test.ts", "TypeScript", 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 8, 29, 167
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\src\store\viewer-store.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 6, 7, 58
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\tailwind.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 24
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\tests\integration\frame-switch.test.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 4, 10, 48
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\tests\integration\selection-sync.test.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 7, 10, 55
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\tsconfig.json", "JSON with Comments", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\tsconfig.spec.json", "JSON", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\vitest.config.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server-e2e\.spec.swcrc", "JSON with Comments", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server-e2e\eslint.config.mjs", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server-e2e\jest.config.cts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 4, 25
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server-e2e\package.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server-e2e\src\ai-detection-viewer\ai-detection-viewer.spec.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server-e2e\src\support\global-setup.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 5, 17
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server-e2e\src\support\global-teardown.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 2, 11
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server-e2e\src\support\test-setup.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 2, 10
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server-e2e\tsconfig.json", "JSON with Comments", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
